"File","Interval","Time","ULx","ULy","ULz","LLx","LLy","LLz","TTx","TTy","TTz","TBx","TBy","TBz","TDx","TDy","TDz","JAWx","JAWy","JAWz","F1","F2","F3","F2_F3","Speaker","LP","Rep","Word","Int","start.event","Triplet"
"lailiwei01","lai",0,12.07712471,-0.644288193,-0.173695884,7.665571301,-2.54110547,-27.88490295,-12.59683992,-2.466153325,0.93608194281007,-31.71006802,-3.676151905,-4.364305875,-44.44574637,-0.899149289,-5.652210751,-1.785633765,-1.721510033,-25.93268782,349.6061148,0.317558012934672,3043.616399,2375.292384,"s1",-0.516303133447326,"01","lailiwei","a",TRUE,"t1"
"lailiwei01","lai",0.005,12.0516373,-0.628380222,-0.142496872,7.598915117,-2.476003148,-27.97470491,-12.53539607,-2.447892676,0.931055289835902,-31.66896794,-3.678033842,-4.627998153,-44.40955492,-0.904984395,-5.973901418,-1.780659992,-1.712503394,-25.97035108,351.1739769,0.289180645051655,3093.405557,2396.742183,"s1",-0.54565862725831,"01","lailiwei","a",FALSE,"t1"
"lailiwei01","lai",0.01,12.02614989,-0.612472251,-0.111297859,7.532258934,-2.410900827,-28.06450688,-12.47395222,-2.429632027,0.926028636861734,-31.62786786,-3.679915779,-4.891690432,-44.37336348,-0.9108195,-6.295592084,-1.77568622,-1.703496755,-26.00801433,352.741839,0.260803277168638,3143.194716,2418.191981,"s1",-0.575014120750711,"01","lailiwei","a",FALSE,"t1"
"lailiwei01","lai",0.015,12.00060134,-0.59636252,-0.080585157,7.465599946,-2.345999897,-28.15435461,-12.41177068,-2.410603973,0.920993250781805,-31.58696159,-3.682200556,-5.155451877,-44.33712282,-0.91674658,-6.61707297,-1.770755314,-1.694433137,-26.04550965,354.3087569,0.232826667653679,3192.617106,2439.724252,"s1",-0.604389986110217,"01","lailiwei","a",FALSE,"t1"
"lailiwei01","lai",0.02,11.9700205,-0.563645984,-0.089900549,7.398710173,-2.297675475,-28.24796982,-12.28887054,-2.32841099,0.915239040137596,-31.56200779,-3.71764294,-5.424906469,-44.29683132,-0.930244007,-6.921286845,-1.769352814,-1.680679579,-26.06918178,355.7979532,0.237836593375422,3211.850672,2468.044816,"s1",-0.635442584044201,"01","lailiwei","a",FALSE,"t1"
"lailiwei01","lai",0.025,11.93943967,-0.530929448,-0.09921594,7.3318204,-2.249351054,-28.34158503,-12.1659704,-2.246218008,0.909484829493387,-31.53705399,-3.753085324,-5.694361061,-44.25653983,-0.943741435,-7.225500721,-1.767950314,-1.666926022,-26.09285391,357.2871495,0.242846521011848,3231.084238,2496.36538,"s1",-0.666495178792344,"01","lailiwei","a",FALSE,"t1"
"lailiwei01","lai",0.03,11.90919634,-0.498203586,-0.108676613,7.265173534,-2.200749963,-28.43621764,-12.04005136,-2.161498288,0.903202475225785,-31.51266206,-3.788517627,-5.963773419,-44.21733339,-0.957724287,-7.528976603,-1.765447684,-1.653195852,-26.11870733,358.8495887,0.247208416692005,3249.3716,2523.823655,"s1",-0.697362865036741,"01","lailiwei","a",FALSE,"t1"
"lailiwei01","lai",0.035,11.89267413,-0.465098554,-0.124043765,7.208402091,-2.140900827,-28.57221265,-11.79139823,-1.974053491,0.875448327815532,-31.51111277,-3.823540081,-6.231468771,-44.22223993,-0.991442192,-7.802449189,-1.718219053,-1.640416477,-26.23324108,363.3897351,0.225224504969962,3229.190854,2516.225439,"s1",-0.720713065345033,"01","lailiwei","a",FALSE,"t1"
"lailiwei01","lai",0.04,11.87615192,-0.431993522,-0.139410918,7.151630648,-2.081051691,-28.70820766,-11.54274509,-1.786608694,0.84769418040528,-31.50956348,-3.858562535,-6.499164124,-44.22714647,-1.025160097,-8.075921774,-1.670990422,-1.627637103,-26.34777483,367.9298815,0.203240595162602,3209.010107,2508.627222,"s1",-0.744063265653325,"01","lailiwei","a",FALSE,"t1"
"lailiwei01","lai",0.045,11.8603684,-0.398770971,-0.154192975,7.092809561,-2.022297103,-28.84869123,-11.2970428,-1.602016556,0.818696144458996,-31.50910501,-3.893081994,-6.766479854,-44.23462325,-1.059575187,-8.348317261,-1.624854052,-1.615862751,-26.47183499,372.7489569,0.179224856818873,3187.226584,2498.799256,"s1",-0.767831115201925,"01","lailiwei","a",FALSE,"t1"
